,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
86,KIBWEZI,Urban,7136,6785,115,49,107,37,29,13,1,0,Makueni,EASTERN
87,NZAUI,Urban,3538,3399,28,55,20,34,1,0,1,0,Makueni,EASTERN
88,MARSABIT,Rural,6521,2844,34,3,197,2689,128,61,85,480,Marsabit,EASTERN
89,CHALBI,Rural,15585,1103,15,6,39,1739,716,563,14,11390,Marsabit,EASTERN
90,LAISAMIS,Rural,13248,728,19,3,20,1260,5094,133,147,5844,Marsabit,EASTERN
91,MOYALE,Rural,9726,1378,17,8,63,7572,128,6,139,415,Marsabit,EASTERN
92,ISIOLO,Rural,9743,2991,22,3,158,2563,930,541,1048,1487,Isiolo,EASTERN
93,GARBATULLA,Rural,6682,2373,34,0,11,3406,764,5,8,81,Isiolo,EASTERN
94,MERU CENTRAL,Rural,37041,35892,217,11,414,444,22,12,15,14,Meru,EASTERN
95,IMENTI NORTH,Rural,51383,48438,369,45,1505,614,302,42,30,38,Meru,EASTERN
96,IMENTI SOUTH,Rural,42735,41161,312,32,821,313,38,15,35,8,Meru,EASTERN
97,MERU SOUTH,Rural,21156,18300,166,2,400,2201,55,13,17,2,Meru,EASTERN
98,MAARA,Rural,19492,18184,132,7,127,1004,24,6,5,3,Meru,EASTERN
99,IGEMBE,Rural,91122,83316,628,69,3787,2532,296,180,208,106,Meru,EASTERN
100,TIGANIA,Rural,61654,54817,524,18,1986,3635,370,153,47,104,Meru,EASTERN
101,THARAKA,Rural,25227,19652,142,8,785,4536,60,12,6,26,Tharaka Nithi,EASTERN
102,EMBU,Rural,55708,53531,410,26,1334,218,39,108,32,10,Embu,EASTERN
103,MBEERE,Rural,50573,44551,374,82,1313,4070,114,26,9,34,Embu,EASTERN
104,KITUI,Rural,67237,52676,865,58,1471,11719,224,137,54,33,Kitui,EASTERN
105,MUTOMO,Rural,32405,20836,285,33,373,10351,392,17,24,94,Kitui,EASTERN
106,MWINGI,Rural,45425,37556,469,36,654,6531,39,48,17,75,Kitui,EASTERN
107,KYUSO,Rural,26490,14696,204,16,428,11000,55,36,21,34,Kitui,EASTERN
108,MACHAKOS,Rural,33555,31817,321,60,600,694,20,31,6,6,Machakos,EASTERN
109,MWALA,Rural,33709,31297,288,21,140,1886,41,16,5,15,Machakos,EASTERN
110,YATTA,Rural,46868,39740,361,10,309,6372,51,14,8,3,Machakos,EASTERN
111,KANGUNDO,Rural,0,0,0,0,0,0,0,0,0,0,Machakos,EASTERN
112,MAKUENI,Rural,36499,31583,286,21,329,4210,20,31,13,6,Makueni,EASTERN
